"","rowname","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","r","N2"
"545","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,17
"546","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,17
"547","CEchoices[3]",-0.22694614559078,0.0153806030831591,1.54632478843449,-1,-1,-1,-0.115868493882363,4.26869353428133,10107.7549936736,1.00001698463227,0.08,17
"548","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,17
"549","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,18
"550","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,18
"551","CEchoices[3]",-0.212455931238438,0.0155797770899556,1.56196645617938,-1,-1,-1,-0.69078201493841,4.44903084616638,10051.269709088,1.00000962145434,0.08,18
"552","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,18
"553","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,19
"554","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,19
"555","CEchoices[3]",-0.204749859992743,0.0158200954256016,1.57398154320334,-1,-1,-1,-0.394128051292385,4.61599019780721,9898.76634916845,0.999999386655958,0.08,19
"556","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,19
"557","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,20
"558","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,20
"559","CEchoices[3]",-0.197724628790303,0.0160193182134494,1.58886824776216,-1,-1,-1,-0.115868493882363,4.77102034666363,9837.56727441466,1.00004191627673,0.08,20
"560","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0.08,20
"561","CEchoices[1]",-1.99354388407973,0,0,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,-1.99354388407973,2.0006001800542,0.999799979995999,0.08,21
"562","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0.08,21
"563","CEchoices[3]",-0.188271853804028,0.0161906691783189,1.60272908099395,-1,-1,-1,0.145719052567601,4.91536644849835,9799.20033016673,1.00005554437761,0.08,21
